Suffix,Replacement,Definition,Example Input,Example Output
-ational,ate,"act; process",rational,rate
-ization,ize,"act; process",organization,organize
-ousness,,"state of; condition of",seriousness,serious
-iveness,,"adjective form of noun",effectiveness,effective
-fulness,,"full of",usefulness,useful
-ication,icate,"act; process",communication,communicate
-ations,ate,"act; process",relations,relate
-nesses,,"state of; condition of",opennesses,open
-ation,ate,"act; process",relation,relate
-ition,,"act; process",edition,edit
-ments,,"state of being; act of",contentments,content
-ities,,"state of",activities,activ
-itious,,"having qualities of",ambitious,ambit
-itious,,"having qualities of",ambitious,ambit
-aneous,,"having qualities of",simultaneous,simultaneo
-ative,,"adjective form of noun",comparative,compar
-itive,,"adjective form of noun",sensitive,sensit
-ible,,"is; can be",sensible,sens
-able,,"is; can be",affordable,afford
-ness,,"state of; condition of",openness,open
-ment,,"state of being; act of",contentment,content
-ious,,"having qualities of",gracious,grac
-eous,,"having qualities of",courageous,courag
-ings,,"verb forms; present participles",sleepings,sleep
-tion,,"act; process",motion,mot
-ion,,"act; process",submission,submiss
-ity,,"state of",activity,activ
-ful,,"full of",helpful,help
-ial,,"having characteristics of",facial,fac
-ing,,"verb forms; present participles",sleeping,sleep
-ies,y,"more than one",activities,activity
-ous,,"having qualities of",riotous,riot
-ive,,"adjective form of noun",active,act
-est,,"the most",tallest,tall
-ess,,"state of; condition of",kindness,kind
-ist,,"one who",scientist,scienc
-ism,,"state of",capitalism,capital
-ise,,"verb form",realise,real
-ize,,"verb form",realize,real
-less,,"without",hopeless,hope
-ly,,"how something is",lovely,love
-al,,"having characteristics of",universal,univers
-ic,,"having characteristics of",poetic,poet
-ty,,"state of",society,socie
-ed,,"past tense verbs; adjectives",walked,walk
-en,,"made of",golden,gold
-er,,"one who; person connected with",teacher,teach
-or,,"one who; person connected with",professor,profess
-es,,"more than one",trenches,trench
-s,,"more than one",trains,train
-y,,"characterized by",gloomy,gloom
