message,label
free money offer click here now,1
win a free prize claim your reward immediately,1
make money fast from home earn thousands,1
free gift selected receive amazing offer limited time,1
click here register free money opportunity,1
cheap medication online discount no prescription needed,1
congratulations you won incredible vacation package,1
work from home earn extra income register now,1
free trial sign up today cancel anytime special price,1
winner notification receive cash prize claim immediately,0
the linguistics seminar on syntax is scheduled thursday,0
please find attached the reading list for next week,0
the conference on computational linguistics starts monday,0
i have completed the annotation task please review,0
the workshop on corpus linguistics registration is open,0
could you review my draft on pragmatic inference,0
the journal submission deadline is end of month,0
attached is the revised draft of our paper,0
the reading group meets wednesday to discuss papers,0
the department colloquium features a talk on translation,0
